ProductName,RealPrice,Offer,OfferPrice
hmte,₹999,75% off,₹249
hrnt,"₹2,099",87% off,₹268
hala,"₹1,499",86% off,₹199
hala,₹999,80% off,₹199
Fastrack,₹895,14% off,₹765
LOIS CARON,"₹1,799",83% off,₹288
Outskirtwatch,₹788,74% off,₹199
TIMEWEAR,"₹1,499",78% off,₹319
Flozio,"₹1,499",89% off,₹161
FOSSIL,"₹13,495",60% off,"₹5,398"
HMTr,"₹1,599",82% off,₹281
HMTr,"₹1,599",84% off,₹249
PETER ENGLAND,"₹3,045",45% off,"₹1,646"
hala,"₹1,999",90% off,₹199
SONATA,₹725,39% off,₹438
hala,"₹1,499",86% off,₹199
SONATA,₹699,36% off,₹446
LIMESTONE,"₹1,999",85% off,₹286
Roux Enterprise,₹899,77% off,₹199
Allen Solly,"₹2,922",58% off,"₹1,221"
YOUTH CLUB,₹499,71% off,₹143
AMINO,"₹1,299",82% off,₹222
hala,"₹1,499",86% off,₹199
SPINOZA,₹399,62% off,₹149
hala,₹499,67% off,₹164
PANARS,₹999,76% off,₹230
PIRASO,"₹1,599",79% off,₹320
hrnt,"₹2,499",84% off,₹392
hala,₹999,80% off,₹199
SKMEI,"₹1,999",77% off,₹441
KNACK,₹499,68% off,₹156
hrnt,"₹2,299",83% off,₹372
VAN HEUSEN,"₹2,999",55% off,"₹1,332"
Outskirtwatch,₹788,74% off,₹199
PETER ENGLAND,"₹2,595",49% off,"₹1,309"
hala,"₹1,499",86% off,₹199
Fastrack,"₹2,695",32% off,"₹1,816"
CASIO,"₹1,695",35% off,"₹1,101"
Fastrack,₹945,10% off,₹850
SPINOZA,"₹1,499",87% off,₹184
